  NO     TB   C1    K1   C2    K2   F
 200    440    1   464    0     0   0
 201    904    1   928    0     0   0
 202   1384    1  1408    0     0   0
 203   1864    1  1888    0     0   0
 204   2344    1  2368    0     0   0
 205   2792    1  2816    0     0   0
 206   3240    1  3264    0     0   0
 207   3752    1  3776    0     0   0
 208   4136    1  4160    0     0   0
 209   4584    1  4608    0     0   0
 210    488    1   512    0     0   0
 211   1000    1  1024    0     0   0
 212   1480    1  1504    0     0   0
 213   1992    1  2016    0     0   0
 214   2472    1  2496    0     0   0
 215   2984    1  3008    0     0   0
 216   3496    1  3520    0     0   0
 217   4008    1  4032    0     0   0
 218   4584    1  4608    0     0   0
 219   4968    1  4992    0     0   0
 220    520    1   544    0     0   0
 221   1064    1  1088    0     0   0
 222   1608    1  1632    0     0   0
 223   2152    1  2176    0     0   0
 224   2664    1  2688    0     0   0
 225   3240    1  3264    0     0   0
 226   3752    1  3776    0     0   0
 227   4264    1  4288    0     0   0
 228   4776    1  4800    0     0   0
 229   5352    1  5376    0     0   0
 230    552    1   576    0     0   0
 231   1128    1  1152    0     0   0
 232   1736    1  1760    0     0   0
 233   2280    1  2304    0     0   0
 234   2856    1  2880    0     0   0
 235   3496    1  3520    0     0   0
 236   4008    1  4032    0     0   0
 237   4584    1  4608    0     0   0
 238   5160    1  5184    0     0   0
 239   5736    1  5760    0     0   0
 240    584    1   608    0     0   0
 241   1192    1  1216    0     0   0
 242   1800    1  1824    0     0   0
 243   2408    1  2432    0     0   0
 244   2984    1  3008    0     0   0
 245   3624    1  3648    0     0   0
 246   4264    1  4288    0     0   0
 247   4968    1  4992    0     0   0
 248   5544    1  5568    0     0   0
 249   5992    1  6016    0     0   0
 250    616    1   640    0     0   0
 251   1256    1  1280    0     0   0
 252   1864    1  1888    0     0   0
 253   2536    1  2560    0     0   0
 254   3112    1  3136    0     0   0
 255   3752    1  3776    0     0   0
 256   4392    1  4416    0     0   0
 257   5160    1  5184    0     0   0
 258   5736    1  5760    0     0   0
 259   6200    2  3136    0  3072   0
 260    712    1   736    0     0   0
 261   1480    1  1504    0     0   0
 262   2216    1  2240    0     0   0
 263   2984    1  3008    0     0   0
 264   3752    1  3776    0     0   0
 265   4392    1  4416    0     0   0
 266   5160    1  5184    0     0   0
 267   5992    1  6016    0     0   0
 268   6712    2  3392    0  3328   0
 269   7480    2  3776    0  3712   0
 270    288    1   312    0     0   0
 271    328    1   352    0     0   0
 272    344    1   368    0     0   0
 273    376    1   400    0     0   0
 274    392    1   416    0     0   0
 275    424    1   448    0     0   0
 276    456    1   480    0     0   0
 277    488    1   512    0     0   0
 278    504    1   528    0     0   0
 279    536    1   560    0     0   0
 280    376    1   400    0     0   0
 281    424    1   448    0     0   0
 282    456    1   480    0     0   0
 283    488    1   512    0     0   0
 284    520    1   544    0     0   0
 285    568    1   592    0     0   0
 286    600    1   624    0     0   0
 287    632    1   656    0     0   0
